profile_key,renewable_level,fossil_level,low_carbon_level,start_date,end_date,is_current
664,LOW,LOW,LOW,2026-06-02,,true
668,LOW,LOW,LOW,2026-06-02,,true
670,LOW,LOW,LOW,2026-06-02,,true
674,LOW,LOW,LOW,2026-06-02,,true
675,LOW,LOW,LOW,2026-06-02,,true
677,LOW,LOW,LOW,2026-06-02,,true
678,LOW,LOW,LOW,2026-06-02,,true
683,LOW,LOW,LOW,2026-06-02,,true
688,LOW,LOW,LOW,2026-06-02,,true
691,LOW,LOW,LOW,2026-06-02,,true
696,LOW,LOW,LOW,2026-06-02,,true
699,LOW,LOW,LOW,2026-06-02,,true
700,LOW,HIGH,LOW,2026-06-02,,true
704,LOW,HIGH,LOW,2026-06-02,,true
706,LOW,HIGH,LOW,2026-06-02,,true
708,LOW,HIGH,LOW,2026-06-02,,true
710,LOW,HIGH,LOW,2026-06-02,,true
714,LOW,HIGH,LOW,2026-06-02,,true
715,LOW,HIGH,LOW,2026-06-02,,true
720,LOW,HIGH,LOW,2026-06-02,,true
721,LOW,HIGH,LOW,2026-06-02,,true
725,LOW,HIGH,LOW,2026-06-02,,true
731,LOW,HIGH,LOW,2026-06-02,,true
733,LOW,HIGH,LOW,2026-06-02,,true
734,LOW,HIGH,LOW,2026-06-02,,true
736,LOW,HIGH,LOW,2026-06-02,,true
737,LOW,HIGH,LOW,2026-06-02,,true
745,LOW,HIGH,LOW,2026-06-02,,true
755,LOW,HIGH,LOW,2026-06-02,,true
764,LOW,LOW,LOW,2026-06-02,,true
769,LOW,LOW,LOW,2026-06-02,,true
770,LOW,LOW,LOW,2026-06-02,,true
773,LOW,LOW,LOW,2026-06-02,,true
776,LOW,LOW,LOW,2026-06-02,,true
778,LOW,LOW,LOW,2026-06-02,,true
780,LOW,LOW,LOW,2026-06-02,,true
789,LOW,LOW,LOW,2026-06-02,,true
790,LOW,LOW,LOW,2026-06-02,,true
791,LOW,LOW,LOW,2026-06-02,,true
792,LOW,LOW,LOW,2026-06-02,,true
795,LOW,LOW,LOW,2026-06-02,,true
799,LOW,LOW,LOW,2026-06-02,,true
805,LOW,LOW,LOW,2026-06-02,,true
813,LOW,LOW,LOW,2026-06-02,,true
815,LOW,LOW,LOW,2026-06-02,,true
816,LOW,LOW,LOW,2026-06-02,,true
818,LOW,LOW,LOW,2026-06-02,,true
824,LOW,LOW,LOW,2026-06-02,,true
826,LOW,LOW,LOW,2026-06-02,,true
827,LOW,LOW,LOW,2026-06-02,,true
829,LOW,LOW,LOW,2026-06-02,,true
830,LOW,LOW,LOW,2026-06-02,,true
832,LOW,LOW,LOW,2026-06-02,,true
836,LOW,LOW,LOW,2026-06-02,,true
837,LOW,LOW,LOW,2026-06-02,,true
839,LOW,LOW,LOW,2026-06-02,,true
841,LOW,LOW,LOW,2026-06-02,,true
845,LOW,LOW,LOW,2026-06-02,,true
847,LOW,LOW,LOW,2026-06-02,,true
853,LOW,LOW,LOW,2026-06-02,,true
858,LOW,LOW,LOW,2026-06-02,,true
859,LOW,LOW,LOW,2026-06-02,,true
861,LOW,LOW,LOW,2026-06-02,,true
862,LOW,LOW,LOW,2026-06-02,,true
863,LOW,LOW,LOW,2026-06-02,,true
865,LOW,LOW,LOW,2026-06-02,,true
866,LOW,LOW,LOW,2026-06-02,,true
867,LOW,LOW,LOW,2026-06-02,,true
870,LOW,LOW,LOW,2026-06-02,,true
871,LOW,LOW,LOW,2026-06-02,,true
872,LOW,LOW,LOW,2026-06-02,,true
883,LOW,LOW,LOW,2026-06-02,,true
893,LOW,LOW,LOW,2026-06-02,,true
900,LOW,HIGH,LOW,2026-06-02,,true
901,LOW,HIGH,LOW,2026-06-02,,true
903,LOW,HIGH,LOW,2026-06-02,,true
905,LOW,HIGH,LOW,2026-06-02,,true
908,LOW,HIGH,LOW,2026-06-02,,true
914,LOW,HIGH,LOW,2026-06-02,,true
915,LOW,HIGH,LOW,2026-06-02,,true
919,LOW,HIGH,LOW,2026-06-02,,true
930,LOW,HIGH,LOW,2026-06-02,,true
933,LOW,HIGH,LOW,2026-06-02,,true
936,LOW,HIGH,LOW,2026-06-02,,true
937,LOW,HIGH,LOW,2026-06-02,,true
