country_key,iso_code,country,start_date,end_date,is_current
206,JOR,Jordan,2026-06-02,,true
207,MYS,Malaysia,2026-06-02,,true
208,MLI,Mali,2026-06-02,,true
209,MTQ,Martinique,2026-06-02,,true
210,MRT,Mauritania,2026-06-02,,true
211,MUS,Mauritius,2026-06-02,,true
212,MEX,Mexico,2026-06-02,,true
213,MMR,Myanmar,2026-06-02,,true
214,ANT,Netherlands Antilles,2026-06-02,,true
215,NIC,Nicaragua,2026-06-02,,true
216,NGA,Nigeria,2026-06-02,,true
217,NOR,Norway,2026-06-02,,true
218,PAN,Panama,2026-06-02,,true
219,PRY,Paraguay,2026-06-02,,true
220,SPM,Saint Pierre and Miquelon,2026-06-02,,true
